time,price_eur_per_mwh,consumption_mwh,wind_speed_100m_weighted_ms,shortwave_radiation_weighted_wm2
2025-01-01 00:00:00,2.16,11935.4375,13.56822,0.0
2025-01-01 01:00:00,1.6,11716.8125,13.968717,0.0
2025-01-01 02:00:00,0.0,11449.375,14.275476,0.0
2025-01-01 03:00:00,-0.01,11155.875,14.717108,0.0
2025-01-01 04:00:00,-0.01,10906.5,15.015663,0.0
2025-01-01 05:00:00,-0.06,10959.625,15.292153,0.0
2025-01-01 06:00:00,-0.09,10794.0,15.518214,0.0
2025-01-01 07:00:00,-0.01,10881.25,15.642834,0.0
2025-01-01 08:00:00,-0.01,11414.75,15.579875,0.0
2025-01-01 09:00:00,-0.04,11920.0,15.653496,0.0
2025-01-01 10:00:00,-0.03,12522.0625,15.971944,10.738266
2025-01-01 11:00:00,-0.1,13022.375,16.098358,70.324224
2025-01-01 12:00:00,-0.05,13281.9375,16.187847,134.438036
2025-01-01 13:00:00,-0.1,12964.75,16.224356,170.848361
2025-01-01 14:00:00,-1.01,12690.75,16.617182,178.191093
2025-01-01 15:00:00,-0.01,12959.5,16.120895,157.584491
2025-01-01 16:00:00,-0.01,13482.4375,15.974556,106.568377
2025-01-01 17:00:00,0.07,13943.0625,15.514891,46.614887
2025-01-01 18:00:00,1.01,13980.9375,15.369302,3.73806
2025-01-01 19:00:00,1.48,13689.0625,15.107502,0.0
2025-01-01 20:00:00,1.0,13131.625,15.018563,0.0
2025-01-01 21:00:00,0.07,12671.4375,14.705774,0.0
2025-01-01 22:00:00,10.05,12149.0,14.091554,0.0
2025-01-01 23:00:00,7.01,11500.4375,14.046396,0.0
2025-01-02 00:00:00,2.55,11025.375,12.981986,0.0
2025-01-02 01:00:00,1.56,10512.9375,12.921714,0.0
2025-01-02 02:00:00,3.45,10308.625,12.528625,0.0
2025-01-02 03:00:00,7.02,10386.875,12.574537,0.0
2025-01-02 04:00:00,12.75,10515.75,11.83499,0.0
2025-01-02 05:00:00,30.07,11015.4375,11.304455,0.0
2025-01-02 06:00:00,67.13,12380.75,10.748972,0.0
2025-01-02 07:00:00,98.83,13405.375,10.105188,0.0
2025-01-02 08:00:00,121.53,14263.0,9.577554,0.0
2025-01-02 09:00:00,127.23,14814.625,9.125816,0.0
2025-01-02 10:00:00,126.35,14974.0,8.658355,4.9798
2025-01-02 11:00:00,119.97,15233.5625,7.986087,37.504861
2025-01-02 12:00:00,115.95,15406.6875,7.497795,76.447271
2025-01-02 13:00:00,113.9,15286.375,7.158097,102.297475
2025-01-02 14:00:00,122.21,14967.375,7.287583,109.943751
2025-01-02 15:00:00,130.11,14900.125,7.176704,96.51158
2025-01-02 16:00:00,138.59,15165.625,7.260383,65.936126
2025-01-02 17:00:00,152.87,15700.875,7.410029,28.156456
2025-01-02 18:00:00,152.94,15724.25,7.525997,1.973413
2025-01-02 19:00:00,139.15,15479.0,7.693436,0.0
2025-01-02 20:00:00,130.0,14723.75,8.086271,0.0
2025-01-02 21:00:00,119.78,14083.5,8.171034,0.0
2025-01-02 22:00:00,113.42,13532.75,8.389393,0.0
2025-01-02 23:00:00,82.47,12694.9375,8.587059,0.0
2025-01-03 00:00:00,99.56,11906.875,8.506515,0.0
2025-01-03 01:00:00,87.53,11483.125,8.604833,0.0
2025-01-03 02:00:00,85.01,11393.625,8.622591,0.0
2025-01-03 03:00:00,83.79,11464.5625,8.792863,0.0
2025-01-03 04:00:00,77.5,11787.6875,9.057359,0.0
2025-01-03 05:00:00,79.88,12298.4375,9.450509,0.0
2025-01-03 06:00:00,83.56,13162.875,9.898536,0.0
2025-01-03 07:00:00,78.43,14015.8125,10.629426,0.0
2025-01-03 08:00:00,82.57,14781.0,11.276817,0.0
2025-01-03 09:00:00,80.76,15172.625,11.719598,0.0
2025-01-03 10:00:00,77.64,15468.125,11.792765,6.160078
2025-01-03 11:00:00,70.48,15705.5625,12.233298,48.297685
2025-01-03 12:00:00,69.94,15852.8125,11.691071,106.023124
2025-01-03 13:00:00,77.8,15592.875,11.984308,137.877129
2025-01-03 14:00:00,78.81,15511.6875,12.285854,146.401313
2025-01-03 15:00:00,85.29,15538.125,11.735474,170.569172
2025-01-03 16:00:00,105.51,15773.125,11.451719,112.974685
2025-01-03 17:00:00,116.66,16340.4375,11.116351,45.49503
2025-01-03 18:00:00,115.06,16102.75,10.772943,4.014722
2025-01-03 19:00:00,114.91,15720.8125,10.577739,0.0
2025-01-03 20:00:00,113.3,15021.5,10.309429,0.0
2025-01-03 21:00:00,107.8,14542.125,10.040382,0.0
2025-01-03 22:00:00,98.22,13868.0625,9.825576,0.0
2025-01-03 23:00:00,88.57,13186.9375,9.540887,0.0
2025-01-04 00:00:00,90.43,12562.0,9.204654,0.0
2025-01-04 01:00:00,90.29,12092.625,8.748671,0.0
2025-01-04 02:00:00,90.2,11552.125,8.421687,0.0
2025-01-04 03:00:00,91.52,11272.5,7.877161,0.0
2025-01-04 04:00:00,95.95,11078.0625,7.383656,0.0
2025-01-04 05:00:00,102.11,11009.5625,6.904584,0.0
2025-01-04 06:00:00,110.66,11271.1875,6.350604,0.0
2025-01-04 07:00:00,119.96,11784.0625,6.030067,0.0
2025-01-04 08:00:00,128.39,12626.4375,5.801757,0.0
2025-01-04 09:00:00,130.75,13399.75,5.910992,0.0
2025-01-04 10:00:00,130.34,13889.0,5.924719,9.677358
2025-01-04 11:00:00,128.29,14437.5625,6.008563,64.72206
2025-01-04 12:00:00,130.03,14527.8125,6.20332,123.939372
